rooms_No,ownership_form,interior_state,floor,balcony,parking_space,listing_type,description,year_built,building_type,lift,link2
4,N/A,do remontu,4/4,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-62-2-ursus-niedzwiadek-ID4mKA8
4,pełna własność,do wykończenia,1/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-82-95-m-ursus-dwa-miejsca-postojowe-ID4bu5a
3,pełna własność,do remontu,2/5,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/2-pokoje-w-unikatowej-kamienicy-na-woli-metro-ID4nsfs
3,pełna własność,do wykończenia,parter/1,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-56-m2-z-ogrodem-197m2-warszawa-wawer-ID4ns1I
3,spółdzielcze wł. prawo do lokalu,do zamieszkania,4/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-mokotow-3-pokoje-49-4m2-ID4nk9e
2,pełna własność,do zamieszkania,3/3,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-43-20-m-warszawa-ID4nsco
2,pełna własność,do zamieszkania,3/6,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-warszawa-stara-ochota-ul-bialobrzeska-ID4naw5
2,pełna własność,do wykończenia,1/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-balkon-bezposrednio-ID4njk5
4,pełna własność,do wykończenia,2/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-4-pokoje-bemowo-lazurowa-ID4mTAD
1,pełna własność,do wykończenia,parter/2,ogródek,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-ogrodek-ID4njk6
4,pełna własność,do wykończenia,1/5,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-132m2-2-loggie-ID4fsoG
1,N/A,N/A,3/10,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/oplacalna-inwestycja-na-woli-twoj-zakup-tego-roku-ID4nscN
3,pełna własność,do wykończenia,parter/2,ogródek,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-65m2-2-ogrodki-ID4dGF1
2,pełna własność,do zamieszkania,5/7,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/ekskluzywny-apartament-2-pokoje-marina-ii-mokotow-ID4nomN
4,pełna własność,do zamieszkania,3/3,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/nowodwory-4-pokoje-kameralne-zielone-osiedle-ID4mLGu
3,pełna własność,do wykończenia,9/26,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/bliska-wola-63m2-mieszkanie-w-stanie-deweloperskim-ID4ns2I
2,N/A,do wykończenia,1/3,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pok-na-bialolece-ul-plochocinska-199-ID4nsga
6,pełna własność,do wykończenia,1/2,"balkon, ogródek, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/warszawa-radosc-ogrodek-wawer-gotowe-ID4gIqD
3,pełna własność,do zamieszkania,5/7,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/apartament-wysoki-standard-nowoczesny-design-ID4mqa7
4,pełna własność,do zamieszkania,1/3,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/apartament-w-zrewitalizowanej-praskiej-kamienicy-ID4nmMp
3,pełna własność,do zamieszkania,1/2,taras,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-76-m-warszawa-ID4lTSz
4,pełna własność,do zamieszkania,> 10/52,taras,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/zlota-44-131-m-3-sypialnie-3-lazienki-ID4lIZg
4,pełna własność,do zamieszkania,5/6,"balkon, taras",N/A,,,,,,https://www.otodom.pl/pl/oferta/apartament-na-os-zielona-italia-warszawa-wlochy-ID4n1KG
4,pełna własność,do zamieszkania,3/9,"balkon, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/186-m2-na-starym-zoliborzu-ID4eSi6
1,pełna własność,N/A,5/10,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/ustawna-kawalerka-ureg-grunty-ID4nsgs
3,N/A,do remontu,3/4,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-warszawa-ursus-ID4nsdj
4,pełna własność,do wykończenia,2/8,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-80m2-loggia-bezposrednio-ID4hFgG
4,pełna własność,do wykończenia,parter/2,ogródek,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-79m2-2-ogrodki-ID4dGF4
2,pełna własność,do zamieszkania,1/3,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/dwa-pokoje-w-kamienicy-na-mokotowie-ID4nsdp
3,N/A,do wykończenia,3/3,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-warszawa-ursynow-ID4mZTA
4,pełna własność,do wykończenia,parter/6,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-z-duzym-ogrodkiem-przy-samej-wisle-ID4nsd4
4,spółdzielcze wł. prawo do lokalu,N/A,1/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/ursynow-4-pok-130-50-m-kameralne-osiedle-ID4nekC
2,pełna własność,do wykończenia,1/7,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-42m2-balkon-bez-prowizji-ID4mASC
2,pełna własność,do zamieszkania,parter/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-58-9-m2-kazachska-ID4mQFK
3,pełna własność,do wykończenia,1/7,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-67m2-loggia-ID4mASB
4,pełna własność,do zamieszkania,3/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/warszawa-wola-ul-okopowa-4-pok-73-m2-bezposrednio-ID4mLBJ
3,pełna własność,do wykończenia,2/2,"ogródek, balkon",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-z-ogrodkiem-i-garazem-a2-ID4mpy3
4,pełna własność,N/A,5/5,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/przestronne-i-jasne-mieszkanie-typu-loft-ID4ly2e
3,pełna własność,do wykończenia,parter/1,taras,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-z-ogrodkiem-3-pok-c3-ID4mpx3
2,N/A,do zamieszkania,2/5,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/nowy-apartament-garaz-ID4ns2T
2,pełna własność,do zamieszkania,1/3,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-2-pokoje-mokotow-bezposrednio-ID4nezR
1,spółdzielcze wł. prawo do lokalu,do zamieszkania,2/4,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/kawalerka-na-starym-mokotowie-bezposrednio-ID4neA9
4,N/A,do zamieszkania,3/5,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/uwaga-nowy-apartament-idealny-pod-gabinet-parking-ID4ns2W
3,pełna własność,do zamieszkania,parter/3,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/ursynow-3-pok-85-m2-2-msc-post-klima-ID4mxmz
2,spółdzielcze wł. prawo do lokalu,do zamieszkania,4/8,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokoje-na-mokotowie-blisko-galerii-mokotow-ID4nsdb
3,pełna własność,N/A,9/12,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/okazja-mokotow-3-pokoje-ID4nsdr
2,pełna własność,do remontu,3/4,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/38m2-w-niskim-loggia-kuchnia-z-oknem-ID4npiN
5,pełna własność,do zamieszkania,3/3,"balkon, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/wyjatkowe-dwupoziomowe-doskonala-lokalizacja-ID4a1TK
1,pełna własność,do zamieszkania,parter/4,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-ujazdow-mozliwosc-zrobienia-2-pokoi-ID4nsgt
2,pełna własność,do wykończenia,parter/2,"taras, ogródek",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-43m2-ogrodek-bez-prowizji-ID4kgwy
5,pełna własność,do wykończenia,2/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/5-pokojowe-mieszkanie-83m2-2-balkony-ID4njki
4,pełna własność,do wykończenia,7/7,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-79m2-loggia-bezposrednio-ID4mATM
3,pełna własność,do wykończenia,parter/2,"taras, ogródek",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-54m2-ogrodek-ID4kic9
3,pełna własność,do zamieszkania,9/15,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/zoliborz-ul-gwiazdzista-3-pok-109-60-m-ID4ne65
5,pełna własność,do zamieszkania,5/5,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/ochota-5-pok-81-14-m-2-balkony-garaz-2-miejsca-ID4lmu9
4,pełna własność,do zamieszkania,3/5,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/wlochy-4pok-77-66-m-garaz-komorka-lokatorska-ID4mjdf
5,pełna własność,do zamieszkania,5/5,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/wlochy-5-pok-81-14-m-2-balkony-garaz-2-miejsca-ID4lmuf
2,N/A,N/A,> 10/14,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/2-pokoje-na-bielanach-ul-wolczynska-ID4nstT
4,spółdzielcze wł. prawo do lokalu,do zamieszkania,3/3,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-99-50-m-warszawa-ID4blNJ
2,pełna własność,do zamieszkania,2/25,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/nowoczesne-2-pokoje-wyposazone-ID4iU81
1,pełna własność,do zamieszkania,1/10,"balkon, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/rezerwacja-mieszkanie-premium-od-reki-inwestycyj-ID4mKDc
2,N/A,do remontu,2/4,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-58-m-warszawa-ID4mVoc
4,N/A,do wykończenia,2/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/willa-fiore-nowy-apartament-nr-8-ID4kTV8
1,N/A,N/A,3/10,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-27-50-m-warszawa-ID4nhF4
3,pełna własność,do wykończenia,N/A,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/prestizowa-lokalizacja-naprzeciwko-politechniki-ID4neAT
2,spółdzielcze wł. prawo do lokalu,do zamieszkania,parter/2,"balkon, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokoje-55m2-obok-metra-kabaty-ID4hHiD
4,pełna własność,do wykończenia,2/2,taras,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/apartament-94m2-z-duzym-tarasem-i-antresola-24m2-ID4nqeB
4,pełna własność,do wykończenia,1/1,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-88m2-ogrodek-100m2-2xgaraz-komorka-ID4mWn7
1,pełna własność,do wykończenia,parter/2,ogródek,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-ogrodek-bez-prowizji-ID4nsNp
2,pełna własność,do zamieszkania,4/6,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/ladne-jasne-mieszkanie-w-swietnej-lokalizacji-ID4nsqq
1,pełna własność,do zamieszkania,4/5,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/kawalerka-studio-3-pak-inwestycja-pulawska-ID4n1R9
2,pełna własność,do zamieszkania,1/3,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pok-59m2-balkon-na-bliskiej-woli-do-zamieszkania-ID4mdPk
4,pełna własność,do zamieszkania,3/3,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-dwupoziomowe-4-pokojowe-bezposrednio-ID4n1Rn
1,pełna własność,do wykończenia,5/14,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/kawalerka-25-4-m2-mokotow-przy-metrze-5-pietr-ID4nrGQ
2,pełna własność,do wykończenia,5/8,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-44m2-balkon-ID4jwYc
2,pełna własność,do zamieszkania,4/7,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-37-8m2-2-osobne-pokoje-garaz-ID4nsLx
2,pełna własność,do wykończenia,2/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-40m2-balkon-ID4nsNq
4,spółdzielcze wł. prawo do lokalu,do zamieszkania,6/13,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/przestronne-4-pokoje-w-dobrej-lokalizacji-ID4neIs
2,N/A,do wykończenia,7/7,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2pk-oddanie-grudzien-2023-stan-deweloperski-ID4noEF
3,pełna własność,do zamieszkania,parter/3,ogródek,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/piekne-mieszkanie-z-ogrodkiem-na-wilanowie-ID4ng59
3,pełna własność,do wykończenia,1/8,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-57m2-balkon-ID4jwYT
6,pełna własność,N/A,parter/1,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-114m2-5-pok-poddasze-46m2-bialoleka-ID4ntfL
3,pełna własność,do remontu,2/4,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/m-4-ciche-sloneczne-z-duzym-balkonem-550m-od-metra-ID4ns6X
2,pełna własność,do zamieszkania,3/3,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/2-pokojeprzy-parkuumeblowanebez-prowizji-ID4n6v8
2,pełna własność,do zamieszkania,N/A,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-na-zielonej-ochocie-ID4ns79
2,pełna własność,do wykończenia,parter/11,taras,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-48m2-taras-bez-posrednikow-ID4mMru
3,N/A,N/A,7/9,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/urocze-mieszkanie-na-ulicy-zwyciezcow-ID4ntfU
3,pełna własność,do zamieszkania,2/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/nowoczesny-3-pokojowy-apartament-na-miasteczku-ID4ndhN
4,pełna własność,do zamieszkania,4/4,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-warszawa-ursynow-ID4nb0w
3,pełna własność,do zamieszkania,4/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/nowoczesne-widne-przestronne-ID4nbuI
2,pełna własność,do zamieszkania,4/8,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/piekne-i-ciche-mieszkanie-na-mokotowie-ID4mPd4
3,pełna własność,do zamieszkania,3/3,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/wyjatkowe-klimatyzowane-z-najlepszym-widokiem-ID4ncs0
3,pełna własność,do zamieszkania,1/2,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/przytulne-trzypokojowe-mieszkanie-na-zawadach-ID4mc58
2,pełna własność,do zamieszkania,3/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2pk-2016r-piekny-widok-wysoki-standard-ID4nknJ
2,N/A,N/A,6/9,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/ciche-w-poblizu-metra-plocka-z-garazem-ID4nseG
4,pełna własność,do wykończenia,5/8,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-76m2-loggia-bezposrednio-ID4jwZM
1,pełna własność,do remontu,4/5,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/powisle-dobra-1-pokoj-widna-kuchnia-balkon-ID4n28r
2,pełna własność,do wykończenia,3/11,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-51m2-loggia-bez-prowizji-ID4mTFR
2,pełna własność,do wykończenia,1/7,"balkon, ogródek",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-51m2-ogrodek-bez-prowizji-ID4imkY
2,pełna własność,do wykończenia,2/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-54m2-balkon-bez-prowizji-ID4kgv2
2,pełna własność,N/A,7/8,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/gotowiec-inwestycyjny-metro-2021r-ID4nnUF
3,pełna własność,do zamieszkania,3/5,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/dwustronne-3-pokoje-balkon-16-5-m2-metro-mlociny-ID4njCp
3,pełna własność,do zamieszkania,6/9,"balkon, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/sprzedam-bezposrednio-70-m2-apartament-warszawa-ID4ntg7
3,pełna własność,do zamieszkania,3/3,"balkon, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokoje-ursus-skorosze-65-9m2-ID4nkQy
2,pełna własność,do wykończenia,1/9,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-46m2-balkon-bez-prowizji-ID4jQd5
4,spółdzielcze wł. prawo do lokalu,do zamieszkania,4/4,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-niedaleko-stacji-metra-ID4mF0e
3,pełna własność,do zamieszkania,8/10,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/przy-rondzie-wiatraczna-z-klimatyzacja-i-jacuzzi-ID4nqNI
2,pełna własność,do wykończenia,2/2,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-47m2-loggia-ID4i0sj
3,pełna własność,do wykończenia,3/7,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokoje-i-oddz-kuchnia-3-pokojowe-os-ursus-ID4lBvS
2,pełna własność,do zamieszkania,1/7,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/nowa-cena-2-pok-z-potencjalem-na-3-pok-ID4net0
3,pełna własność,do zamieszkania,2/5,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-warszawa-mokotow-ID4m4Iv
5,pełna własność,do zamieszkania,3/3,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/narozne-ustawne-w-dogodnej-lokalizacji-ID4lowX
2,pełna własność,do zamieszkania,1/10,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/przytulne-2-pokoje-duzy-balkon-metro-od-zaraz-ID4nrTQ
3,N/A,do remontu,4/11,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/dwustronne-mieszkanie-3-pokojowe-garaz-piwnica-ID4n70j
3,pełna własność,N/A,2/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-warszawa-wilanow-ID4mCoz
2,pełna własność,N/A,7/9,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-bielany-ID4nshK
4,pełna własność,do zamieszkania,1/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/piekny-nowoczesny-apartament-ID4n8MQ
1,pełna własność,do zamieszkania,3/8,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/31-m2-kawalerka-doskonala-na-wynajem-ID4nkBP
5,pełna własność,N/A,parter/2,"ogródek, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/5-pokoi-z-ogodkiem-blisko-palacu-stary-wilanow-ID4meRz
1,pełna własność,N/A,4/4,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/genialna-lokalizacja-urocze-mieszkanie-ID4nsIg
3,pełna własność,do wykończenia,parter/1,taras,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-z-ogrodkiem-3-pok-c1-ID4mpvX
2,pełna własność,do zamieszkania,1/4,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/miasteczko-wilanow-2-pokoje-garaz-ID4nmRf
2,N/A,N/A,N/A,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/zakonczona-budowa-i-odlicz-23-vat-ID4nsrx
4,pełna własność,do zamieszkania,1/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/super-standard-dobra-lokalizacja-cicho-ID4mBCt
4,pełna własność,do zamieszkania,parter/5,"balkon, ogródek, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/apartament-z-ogrodkiem-osiedle-azurowych-okiennic-ID4lBhE
2,pełna własność,do zamieszkania,1/4,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/2-pok-59-m2-ul-zabkowska-kamienica-1930-r-ID4m1Gu
2,pełna własność,N/A,5/5,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/tuz-przy-metrze-wys-2-90-ID4muNR
2,pełna własność,do remontu,3/10,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/centrum-2-pokoje-36-m-metro-do-remontu-ID4nr69
1,spółdzielcze wł. prawo do lokalu,do zamieszkania,2/3,"balkon, ogródek",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/saska-kepa-ID4hmLf
2,N/A,do zamieszkania,2/3,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/klimatyczne-i-urzadzone-mieszkanie-2-pokojowe-ID4nbnO
3,pełna własność,do wykończenia,parter/3,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/nowe-3-pokojowe-mieszkanie-z-ogrodem-214-67m2-ID4mnbr
3,pełna własność,do zamieszkania,10/10,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-targowek-rezerwacja-ID4nf6D
2,pełna własność,do zamieszkania,4/10,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/po-remoncie-balkon-gotowe-do-wprowadzenia-ID4nsOo
3,N/A,N/A,5/10,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-sluzew-na-ulicy-beldan-ID4nruw
3,pełna własność,N/A,parter/4,"balkon, ogródek",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/nowoczesne-mieszkanie-kredyt-bk2-obcokrajowiec-ID4mBfQ
2,N/A,N/A,4/10,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/zoliborz-2-pokoje-od-zaraz-ID4nsYz
2,pełna własność,do zamieszkania,2/2,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-blisko-parku-twoja-oaza-w-miescie-ID4nsYV
3,pełna własność,do remontu,3/7,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/blisko-metra-3-pokoje-balkon-do-remontu-ID4nmmJ
4,pełna własność,do zamieszkania,2/6,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/bezposrednio-bez-pcc-nowe-2023-wykonczone-ID4n1So
3,N/A,do zamieszkania,N/A,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/wykonczony-apartament-3-pokoje-srodmiescie-ochota-ID4nsYP
4,pełna własność,do zamieszkania,parter/4,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/wilanow-ul-sarmacka-apartament-133-m-parter-ID4nlaF
2,pełna własność,do zamieszkania,6/6,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/apartamenty-przy-lesie-marysin-korkowa-161e-la-ID4mTJX
4,pełna własność,N/A,1/7,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/piekny-apartament-na-bielanach-ID4nshL
3,pełna własność,do zamieszkania,2/3,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-warszawa-bialoleka-ID4nbID
3,pełna własność,do zamieszkania,4,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/zoliborz-3-pokoje-idealna-inwestycja-ID4mJ3O
4,pełna własność,do wykończenia,1/2,taras,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/blisko-palacu-w-kameralnym-apartamentowcu-ID4ng4C
2,N/A,do remontu,2,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-w-sercu-starego-zoliborza-ID4lVLg
